AKM1MP6P0OYPR,0132793040,5.0,1365811200
AKEDGA2LY445V,B000M9ISQ2,5.0,1187740800
AEFTIUQHSVUFX,B002L6HE9G,1.0,1363392000
A15LOGO6NBSI6B,B007MXGG5Q,5.0,1358640000
A23LX12CA3G4FG,B008HOEDYU,1.0,1385337600
A3TV7QFYXAG130,B0069R7TAM,5.0,1402963200
A1X5SCOSDDB0TQ,B00FAVIB3W,3.0,1391817600
AZOXOPGFVXAGM,B0043GCBU4,4.0,1401148800
A3IKZ15AVH556K,B00F3GT5BG,3.0,1394496000
A34DFEYDGYE1F8,B0002L5R78,5.0,1353628800
AQHI9SEB98TIJ,B003EHCBDA,2.0,1368576000
A2ERYUZPOF9CPA,B0041F4F7Y,2.0,1288656000
A3VBQ0OIVZOXOV,B0046SRHOE,5.0,1387411200
AWD7VL002O958,B00383HMES,5.0,1302393600
A3T4EN8NI5SH1I,B00B2NMXQ8,5.0,1390176000
A13ZV54XZX6NFU,B003YFQ8HW,4.0,1379721600
A25JH6CO4DVINS,B00000JFEX,5.0,1032307200
ACETS04701F48,B00IZBNQO8,5.0,1403913600
A2GOMYRSM0XYUA,B009A6CZ26,5.0,1364774400
A2T4EUHEDP4789,B000KE3ESG,1.0,1283990400
A24DEF7YWJYS9K,B0083LOW7A,1.0,1399248000
A1ELCIPRUWL2KR,B00383WNF6,3.0,1372723200
A3U7DQGZ57GUEM,B00AXZY42W,5.0,1390089600
A1ERT67275SOYJ,B000I4RMOU,4.0,1340928000
A2TPO47B26AFSY,B00CMEN95U,5.0,1390953600
A3508NM26P9TH3,B0070JW7HS,5.0,1375574400
A28GVVNJUZ3VFA,B007CLWN5A,5.0,1387411200
A32X3HDEOV4Q6A,B00428N9OK,1.0,1320537600
A294IZWA6NSCE,B005J7YFLY,2.0,1355097600
A1C7T4XPESZLV7,B00B74Z67K,3.0,1392595200
AEGU4LB374TBW,B003LR7ME6,4.0,1401062400
A1NKWY5D61QKTX,B000LJ5B8Q,4.0,1199232000
ABW3759BOQIJ1,B000E3UN3M,4.0,1292716800
AHQTXJQX2584I,B000T9L7W2,5.0,1389139200
AZDXOYPKXE0A7,B002LITI70,5.0,1399680000
AW05VMLQCT51J,B002AR5XIK,5.0,1355356800
A26TB92DVWR95E,B00724G2P4,5.0,1384128000
A30IPVJJGRH50B,B001CGM1ZI,1.0,1388793600
A2LBE4TYXL5BX1,B009CAIKXI,5.0,1402963200
A1CTHS65NWUW2D,B001C3K7I4,5.0,1387756800
A1WHBQ0U7UNAAK,B001F6YRNO,4.0,1264809600
A340MMPUA74NV1,B003VANO7C,5.0,1386028800
A1MGPI75H7P61R,B00AGMWWMG,5.0,1389744000
A80RA85MSU6H,B000196ENC,5.0,1168387200
AEBUQV0KANF8M,B0007RPW36,5.0,1193529600
AMWPOG8YM5RL4,B001B077PO,5.0,1277510400
ACO2PF34EUDQP,B000NP46K2,5.0,1373500800
A3N2U7SV1XJV75,B00BWHILCY,4.0,1397433600
A36A00DRCBA5RH,B004GCK5JY,4.0,1392163200
AX7317G153T8W,B0026L7B94,4.0,1258588800
A132W4WIT4O7IF,B005QX7KYU,3.0,1360368000
A2VUEEQHN0JPLP,B008D9AIMA,5.0,1389052800
A2XQMSKQSYQ3T4,B009X5VMLO,5.0,1372464000
A2PSOA19FOD634,B007PRHNHO,3.0,1356652800
A365G890JM0LIA,B003SW13WQ,1.0,1392681600
A8UJO3PXVW70R,B00EL93M3S,4.0,1399248000
A2P76DQPH6MSMO,B001JJCI10,4.0,1276819200
A2FL0J8B9DRFQI,B0013FRNKG,2.0,1334102400
A3KLSR5S28A5HM,B00BQOH9GC,1.0,1392940800
A6D8X6ENTEWZQ,B004XXMUCQ,5.0,1352160000
A1Z4NMUQVANQK0,B0078GCLRY,3.0,1393027200
A32T8U93TKZEJW,B003XN24GY,4.0,1400630400
AGJ55TS0VDKAA,B007B5WHTE,4.0,1355356800
A2CEJYUQRZPT90,B00E3ERLU6,4.0,1395964800
AUNCZBG0FMWD9,B007HBLX5G,5.0,1334534400
A13O9E0FA23F03,B004Q6ZEEG,5.0,1363564800
AG90N3F0D0U90,B000PGG0BM,5.0,1360540800
A2E928CJJI9GPA,B0026IBJNQ,5.0,1264032000
A22DRGMGVMH38,B003QP3M92,1.0,1306022400
A25E1E7QUY8N34,B003M76AFC,1.0,1322352000
A2FTF0KASSYLAO,B0001I95CA,5.0,1236988800
A11HBUKI7494BP,B007X48JNQ,5.0,1370649600
A3TX0F4SELQENA,B0015A8Y5M,5.0,1388188800
ARFFEJ7RVXIUN,B00D53YIK2,5.0,1393113600
A1CIQTLWE6RAZF,B000EP4TWQ,1.0,1178236800
A2PJ0PQVLN56MI,B00834SJSK,2.0,1371513600
A3KYE6XC3DAACN,B004TS2AO8,5.0,1363046400
A59N72X5GJ7L1,B0010RWW26,2.0,1361404800
A3948MDBGCODTM,B00478O0JI,4.0,1393113600
A1M5R0JX19GGRD,B004JWA70I,5.0,1395532800
A2TD1FN1V1GQDN,B0050JDS0K,1.0,1339027200
A1E80JNSB7WH10,B001T0HW88,5.0,1264809600
A6888GAXLZUSE,B005QFA0XQ,5.0,1333152000
A26OGSZ0AASO36,B001V9LPT4,5.0,1362700800
A2R0RKTHVSH3A8,B00CL6TK2U,5.0,1401667200
A3ELF3RIOB0SES,B002RWJDV6,2.0,1310774400
A9EE1PXK5EGFJ,B0062CZTJM,1.0,1367971200
A2AQ7XYYJ0477H,B001CCLBSA,5.0,1283817600
A38WAOQVVWOVEY,B00303G9F4,4.0,1277337600
A1PBTRSMZEFUTL,B00902SFC4,4.0,1392336000
A37PYFYJ7LUSAZ,B000UO9KSY,5.0,1359849600
A1Q0NUU4I9P54J,B005J4B5VK,2.0,1392076800
A1BT5E0YDOENPG,B000UV4EU6,4.0,1244419200
A3N7RDPDOWZYLM,B0001AP8CE,2.0,1140912000
A18C2ZDK59KCD1,B00H1YYCWA,5.0,1403913600
AOYJJYE5WP42G,B0006ZO2CG,4.0,1147305600
A111T07JOBOJRT,B000MX07GC,5.0,1358899200
A1HHPTJR2L6B8U,B002WBV2T8,5.0,1315440000
A2B50L767OQC61,B005E7KMH0,4.0,1368489600
A1MR4O2GT1H5WG,B004W88SBE,5.0,1364515200
AY34CU8149C80,B00151HAMO,5.0,1212192000
A35Z1441BJEK0L,B005I496WQ,2.0,1335830400
A1YOA3YK4LYL2Q,B000FMPENQ,3.0,1333929600
A2SGN3S072KRSR,B007GJR7GS,1.0,1350000000
A3RLADT3X6USPF,B0064L8L2I,1.0,1369785600
AOC38YM82U6A,B003DZ165W,5.0,1318550400
A1CIZK19VLPZ0D,B0018P7WZ2,5.0,1305849600
